Realidad_Default,Probabilidad_Estimada,Prediccion_Modelo
0,0.24116960739366408,0
0,0.12684820915235476,0
0,0.3800723967808938,0
1,0.5069123907333952,1
0,0.42095370330336235,0
0,0.19293811758508034,0
0,0.11626324165669943,0
0,0.21091044495531558,0
0,0.3863896998652625,0
1,0.5110865483125651,1
0,0.28545890934029783,0
0,0.28795025320034395,0
0,0.39714982733930965,0
0,0.6091123432448302,1
1,0.43789692556947635,0
0,0.1860908698613358,0
1,0.3706705176931372,0
1,0.1630435511014075,0
0,0.5242224747400155,1
0,0.17285294234675352,0
0,0.18833777558036996,0
0,0.2994126892392559,0
0,0.2102035358943246,0
0,0.36587748698254713,0
1,0.40055057991243115,0
1,0.2791016183776214,0
0,0.358365284749361,0
0,0.31273684399525176,0
1,0.31729720926424787,0
0,0.17155354417175442,0
0,0.2646609782596624,0
0,0.23335016470052483,0
0,0.32257564385122883,0
0,0.3657938884204637,0
0,0.28875235919812614,0
0,0.3167274096108023,0
0,0.4300358985335338,0
0,0.5600340076529823,1
1,0.43988194070565173,0
0,0.28671053078114217,0
1,0.37786463972425127,0
0,0.5303531987687884,1
0,0.38851780210382125,0
0,0.23602517831702508,0
0,0.5113043206472848,1
1,0.3999142801380994,0
0,0.3040801040941928,0
0,0.3654093216488377,0
1,0.4289090347610109,0
0,0.2340170505399436,0
0,0.26030102463863036,0
0,0.24064266321201877,0
1,0.29344764658183264,0
0,0.3179092284037495,0
0,0.38758306965799766,0
0,0.24670810923588557,0
1,0.41465650931358683,0
1,0.2945964851414675,0
0,0.42660345309145514,0
0,0.27974906779419,0
0,0.21262942019038117,0
0,0.19627367694335604,0
0,0.33765376426196014,0
0,0.35499195709007536,0
1,0.5144209532231038,1
0,0.23114662367145244,0
1,0.3917182292115182,0
0,0.43430193017815116,0
1,0.46396249228064484,0
1,0.4955244895431213,0
0,0.2728667357608397,0
0,0.4150543432398762,0
1,0.21009791537118874,0
1,0.6226083431794724,1
1,0.1798922872825104,0
0,0.22382259603671212,0
0,0.5100980213819539,1
0,0.22611308774789585,0
0,0.2745508063338229,0
0,0.2678311853302569,0
0,0.313829048777377,0
0,0.3070997054103536,0
1,0.20572906224083898,0
0,0.42828771836583923,0
1,0.5754400275519977,1
0,0.27934367235674723,0
0,0.3360206057790813,0
0,0.611103192964414,1
0,0.32623981909463906,0
1,0.37850000021835306,0
0,0.30231371696819576,0
1,0.48063049930150603,0
0,0.2698779990001327,0
0,0.06801098724942295,0
1,0.3263949397185379,0
0,0.3263881809425733,0
0,0.3983237672093,0
0,0.3019078933758943,0
1,0.371971972149524,0
1,0.2741258633071109,0
1,0.4270718408126686,0
0,0.32956176976601165,0
0,0.27829461077626066,0
0,0.3339745618418992,0
0,0.40195548574536555,0
0,0.40269904928127503,0
0,0.38336716102271945,0
0,0.32283867645539016,0
0,0.358681520553727,0
1,0.22082687886396637,0
1,0.47011505884862287,0
0,0.3516135975756302,0
0,0.21533223588426792,0
0,0.5023081335309328,1
0,0.3104257158357379,0
0,0.402133574821043,0
0,0.3647418179074692,0
0,0.4231799935054542,0
0,0.28428982249749735,0
0,0.33205185848290825,0
1,0.48474639343633613,0
1,0.33408451363577174,0
0,0.1010278438792532,0
1,0.4960472625906428,0
0,0.11136037695449916,0
0,0.34599159005230445,0
0,0.40176215126080256,0
1,0.26971824445096054,0
0,0.449045878900649,0
1,0.4219408033899487,0
1,0.45821723939048065,0
0,0.3727664905953908,0
0,0.1704213615774859,0
0,0.282175162025867,0
0,0.11162173960952773,0
0,0.28052577902349873,0
0,0.31628717412130036,0
0,0.4491377810034028,0
0,0.20312709177453395,0
1,0.2875692362358167,0
0,0.257818742676332,0
0,0.3254306060246544,0
0,0.3917941278350833,0
0,0.36741046174199893,0
1,0.5963016723281015,1
0,0.3494566735205259,0
0,0.5193702867287553,1
0,0.29912131932630914,0
0,0.11076555742741473,0
1,0.3222714276392717,0
0,0.3430330254671247,0
0,0.3701471482375476,0
0,0.22856554579954783,0
0,0.3452174635325121,0
0,0.36028218944828455,0
0,0.2951584693994246,0
0,0.43717676290014734,0
0,0.17857225340980765,0
1,0.3267865130018568,0
1,0.5582190304028413,1
0,0.46446524599221817,0
0,0.47990306526567805,0
0,0.29860624328827023,0
1,0.39231330655417584,0
1,0.4809956345310444,0
0,0.3709171107847293,0
0,0.31538734923775563,0
0,0.27117004099434816,0
0,0.34823141531212853,0
0,0.20576982526351462,0
0,0.3982185224100816,0
0,0.2965485067920467,0
0,0.16687729006292923,0
1,0.44292561503542843,0
1,0.5602171198065675,1
1,0.48003427929115033,0
1,0.27527614781795895,0
0,0.2918600258935161,0
1,0.2472330505547027,0
1,0.3073341313356614,0
0,0.2455681309250866,0
1,0.54327653161091,1
1,0.2072597492649216,0
0,0.29185974289457733,0
